PLAY "Jogar"
CREATURE_ATTRIBUTES_RAT_SOLDIER_NAME "rat soldier"
CREATURE_ATTRIBUTES_RAVEN_GROUPNAME "flock"
CREATURE_ATTRIBUTES_RAVEN_NAME "raven"
CREATURE_ATTRIBUTES_RED_DRAGON_NAME "red dragon"
CREATURE_ATTRIBUTES_RED_DRAGON_STACKNAME "dragon"
CREATURE_ATTRIBUTES_RED_NAGA_NAME "red naga"
CREATURE_ATTRIBUTES_SHAMAN_NAME "shaman"
CREATURE_ATTRIBUTES_SHAPESHIFTER_NAME "shapeshifter"
CREATURE_ATTRIBUTES_SHELOB_NAME "giant spider"
CREATURE_ATTRIBUTES_SHOPKEEPER_CHATREACTIONFRIENDLY "{1} complains about high import tax"
CREATURE_ATTRIBUTES_SHOPKEEPER_NAME "shopkeeper"
CREATURE_ATTRIBUTES_SKELETON_ARCHER_NAME "skeleton archer"
CREATURE_ATTRIBUTES_SKELETON_WARRIOR_NAME "skeleton warrior"
CREATURE_ATTRIBUTES_SKELETON_WOLF_GROUPNAME "pack"
CREATURE_ATTRIBUTES_SKELETON_WOLF_NAME "skeleton wolf"
    "skeleton wolves" : plural
CREATURE_ATTRIBUTES_SLASHER_NAME "slasher"
CREATURE_ATTRIBUTES_SNAKE_NAME "snake"
CREATURE_ATTRIBUTES_LIZARD_NAME "giant lizard"
CREATURE_ATTRIBUTES_SOFT_MONSTER_NAME "soft monster"
CREATURE_ATTRIBUTES_SORCERER_NAME "sorcerer"
CREATURE_ATTRIBUTES_SPIDER_FOOD_CHATREACTIONFRIENDLY "\"Put me out of my misery PLEASE!\""
CREATURE_ATTRIBUTES_SPIDER_FOOD_CHATREACTIONHOSTILE "\"End my torture!\""
CREATURE_ATTRIBUTES_SPIDER_FOOD_DEATHDESCRIPTION "dead, released from unthinkable agony"
CREATURE_ATTRIBUTES_SPIDER_NAME "spider"
CREATURE_ATTRIBUTES_SPIRIT_CHATREACTIONFRIENDLY "\"Wouuuouuu!!!\""
CREATURE_ATTRIBUTES_SPIRIT_CHATREACTIONHOSTILE "\"Wouuuouuu!!!\""
CREATURE_ATTRIBUTES_SPIRIT_NAME "ancient spirit"
CREATURE_ATTRIBUTES_SQUIRE_PLAYER_NAME "squire"
CREATURE_ATTRIBUTES_STONE_GOLEM_NAME "stone golem"
CREATURE_ATTRIBUTES_SUCCUBUS_NAME "succubus"
    "succubi" : plural
CREATURE_ATTRIBUTES_TENGU_NAME1 "shaitan"
CREATURE_ATTRIBUTES_TENGU_NAME2 "banshee"
CREATURE_ATTRIBUTES_TENGU_NAME3 "vetala"
CREATURE_ATTRIBUTES_TENGU_NAME4 "leyak"
CREATURE_ATTRIBUTES_TENGU_NAME5 "baku"
CREATURE_ATTRIBUTES_TENGU_NAME6 "rakshasa"
CREATURE_ATTRIBUTES_TENGU_NAME7 "ghoul"
CREATURE_ATTRIBUTES_TENGU_NAME8 "suanggi"
CREATURE_ATTRIBUTES_TENGU_NAME "tengu"
CREATURE_ATTRIBUTES_TEUTON_NAME "Teutonic Grand Master"
CREATURE_ATTRIBUTES_THIEF_NAME "thief leader"
CREATURE_ATTRIBUTES_UNICORN_CHATREACTIONFRIENDLY "\"mhhhhhrrrr!\""
CREATURE_ATTRIBUTES_UNICORN_CHATREACTIONHOSTILE "\"mhhhhhrrrr!\""
CREATURE_ATTRIBUTES_UNICORN_GROUPNAME "herd"
CREATURE_ATTRIBUTES_UNICORN_NAME "unicorn"
CREATURE_ATTRIBUTES_UNICORN_PETREACTION "neighs"
CREATURE_ATTRIBUTES_VAMPIRE_BRUTE_CHATREACTIONFRIENDLY "\"All men be cursed!\""
CREATURE_ATTRIBUTES_VAMPIRE_BRUTE_NAME "vampire brute"
CREATURE_ATTRIBUTES_VAMPIRE_CHATREACTIONFRIENDLY1 "\"There are times when you simply cannot refuse a drink!\""
CREATURE_ATTRIBUTES_VAMPIRE_CHATREACTIONFRIENDLY "\"All men be cursed!\""
CREATURE_ATTRIBUTES_VAMPIRE_NAME1 "vampire noble"
CREATURE_ATTRIBUTES_VAMPIRE_NAME "vampire warrior"
CREATURE_ATTRIBUTES_VULTURE_NAME "vulture"
CREATURE_ATTRIBUTES_WARRIOR_NAME1 "thief"
CREATURE_ATTRIBUTES_WARRIOR_NAME "warrior"
CREATURE_ATTRIBUTES_WATER_ELEMENTAL_NAME "water elemental"
CREATURE_ATTRIBUTES_WEREWOLF_NAME "werewolf"
    "werewolves" : plural
CREATURE_ATTRIBUTES_WHITE_DRAGON_NAME "white dragon"
CREATURE_ATTRIBUTES_WHITE_DRAGON_STACKNAME "dragon"
CREATURE_ATTRIBUTES_WHITE_NAGA_NAME "white naga"
CREATURE_ATTRIBUTES_WITCHMAN_CHATREACTIONFRIENDLY "{1} curses all monsters"
CREATURE_ATTRIBUTES_WITCHMAN_NAME "witchman"
    "witchmen" : plural
CREATURE_ATTRIBUTES_WITCH_NAME "witch"
    "witches" : plural
CREATURE_ATTRIBUTES_NIGHT_HAG_NAME "night hag"
CREATURE_ATTRIBUTES_STRIX_NAME "strix" "striges" : plural
YOU_PULL_WITH_YOUR_HAIR "You grab {1} with your hair and pull towards yourself."
PULLS_WITH_HER_HAIR "{1} grabs {2} with her hair and pull towards herself."
CREATURE_ATTRIBUTES_WOLF_GROUPNAME "pack"
CREATURE_ATTRIBUTES_WOLF_NAME "wolf"
    "wolves" : plural
CREATURE_ATTRIBUTES_WRAITH_CHATREACTIONFRIENDLY "\"Wouuuouuu!!!\""
CREATURE_ATTRIBUTES_WRAITH_CHATREACTIONHOSTILE "\"Wouuuouuu!!!\""
CREATURE_ATTRIBUTES_WRAITH_NAME "wraith"
CREATURE_ATTRIBUTES_YELLOW_DRAGON_NAME "yellow dragon"
CREATURE_ATTRIBUTES_YELLOW_DRAGON_STACKNAME "dragon"
CREATURE_ATTRIBUTES_YELLOW_NAGA_NAME "yellow naga"
CREATURE_ATTRIBUTES_YETI_NAME "yeti"
CREATURE_ATTRIBUTES_ZOMBIE_NAME1 "zombie artisan"
CREATURE_ATTRIBUTES_ZOMBIE_NAME2 "zombie mage"
CREATURE_ATTRIBUTES_ZOMBIE_NAME "zombie"
ENEMIES_ADA_GOLEMS_RACE "adamantine golems"
ENEMIES_ADOXIE_FEET_ENTRY_RACE "altar of Evil God Adoxie"
ENEMIES_ADOXIE_FEET_RACE "altar of Evil God Adoxie"
ENEMIES_ANTS_CLOSED_RACE "ants"
ENEMIES_ANTS_CLOSED_SMALL_RACE "ants"
ENEMIES_BAT_DEN_RACE "bats"
ENEMIES_BLACK_MARKET_RACE "the Black Market"
ENEMIES_BLACK_RATS_RACE "black rats"
ENEMIES_CAVE_BEAR_DEN_RACE "cave bear"
ENEMIES_CEMETERY_ENTRY_RACE "undead"
ENEMIES_CEMETERY_RACE "undead"
ENEMIES_CYCLOPS_RACE "cyclops"
ENEMIES_DARK_ELF_CAVE_RACE "dark elves"
ENEMIES_DARK_ELVES_ALLY_RACE "dark elves"
ENEMIES_DARK_ELVES_ENTRY_RACE "dark elves"
ENEMIES_DARK_ELVES_Z_LEVEL_RACE "dark elves"
ENEMIES_DARK_MAGE_RACE "dark mage"
ENEMIES_DEMON_DEN_ENTRY_RACE "ghosts"
ENEMIES_DEMON_DEN_RACE "demons"
ENEMIES_DJINN_RACE "monsters"
ENEMIES_DRIADS_RACE "dryads"
ENEMIES_DWARVES_RACE "dwarves"
ENEMIES_DWARVES_Z_LEVEL_RACE "dwarves"
ENEMIES_ELVEN_COTTAGE_RACE "elves"
ENEMIES_ELVES_RACE "elves"
ENEMIES_ENTS_RACE "tree spirits"
ENEMIES_EVIL_TEMPLE_RACE "altar"
ENEMIES_GNOMES_ENTRY_RACE "gnomes"
ENEMIES_GNOMES_RACE "gnomes"
ENEMIES_GOBLIN_CAVE_RACE "goblins"
ENEMIES_GOBLINS_Z_LEVEL_RACE "goblins"
ENEMIES_GOBLIN_VILLAGE_RACE "greenskins"
ENEMIES_GREEN_DRAGON_RACE "dragon"
ENEMIES_HUMAN_COTTAGE_RACE "humans"
ENEMIES_KIRIN_RACE "ki-rin"
ENEMIES_KNIGHTS_RACE "humans"
ENEMIES_KOBOLD_CAVE_RACE "kobolds"
ENEMIES_KRAKEN_RACE "kraken"
ENEMIES_LIZARDMEN_COTTAGE_RACE "lizardmen"
ENEMIES_LIZARDMEN_RACE "lizardmen"
ENEMIES_LIZARDMEN_SMALL_RACE "lizardmen"
ENEMIES_MINOTAUR_RACE "monsters"
ENEMIES_NATIVE_VILLAGE_RACE "humans"
ENEMIES_NO_AGGRO_BANDITS_RACE "bandits"
ENEMIES_NO_AGGRO_DWARF_CAVE_RACE "dwarves"
ENEMIES_ORC_CAVE_RACE "orcs"
ENEMIES_ORC_VILLAGE_RACE "greenskins"
ENEMIES_RED_DRAGON_RACE "dragon"
ENEMIES_RUINS_RACE "ruins"
ENEMIES_TEMPLE_RACE "altar"
ENEMIES_TEUTONS_RACE "Teutonic Knights"
ENEMIES_THIEVES_RACE "thieves"
ENEMIES_TUTORIAL_VILLAGE_RACE "humans"
ENEMIES_UNICORN_HERD_RACE "unicorns"
ENEMIES_VILLAGE_RACE "humans"
ENEMIES_WARRIORS_RACE "humans"
ENEMIES_WITCH_RACE "witch"
ENEMIES_WOLF_DEN_RACE "wolves"
FURNITURE_EFFIGY_NAME "effigy"
FURNITURE_ADA_DOOR_NAME "adamantine door"
FURNITURE_ADA_GATE_NAME "adamantine gate"
FURNITURE_ADOXIE_FEET_ALTAR_NAME "altar"
FURNITURE_ADOXIE_FEET_TRIGGER_NAME "floor"
FURNITURE_ADOXIE_LEFT_FOOT_NAME1 "statue of Evil God Adoxie's Right Foot"
FURNITURE_ADOXIE_LEFT_FOOT_NAME "statue of Evil God Adoxie's Left Foot"
FURNITURE_ADOXIE_STATUE_TEMPLE_NAME "statue of Evil God Adoxie"
FURNITURE_ADVENTURER_CHEST_NAME "chest"
FURNITURE_ALARM_TRAP_NAME "alarm trap"
FURNITURE_ALTAR_DES_NAME "desecrated altar"
FURNITURE_ALTAR_NAME "altar"
FURNITURE_ALTAR_SECONDPERSON1 "You find some gold coins in the cracks."
FURNITURE_ALTAR_SECONDPERSON2 "You find a glyph in the cracks!"
FURNITURE_ALTAR_SECONDPERSON "You desecrate the altar"
FURNITURE_ALTAR_THIRDPERSON1 "{1} finds some gold coins in the cracks."
FURNITURE_ALTAR_THIRDPERSON2 "{1} finds a glyph in the cracks!"
FURNITURE_ALTAR_THIRDPERSON "{1} desecrates the altar"
FURNITURE_ALTAR_USAGETYPE "desecrate altar"
FURNITURE_ANIMAL_FENCE_NAME "animal fence"
FURNITURE_ARCHERY_RANGE_NAME "archery target"
FURNITURE_ARMOR_RACK_NAME "armor rack"
FURNITURE_AUTOMATON_ENGINE_ADA_NAME "adamantine engine"
FURNITURE_AUTOMATON_ENGINE_IRON_NAME "iron engine"
FURNITURE_AUTOMATON_ENGINE_WOOD_NAME "wooden engine"
FURNITURE_AUTOMATON_STORAGE_NAME "automaton chest"
FURNITURE_BARRICADE_NAME "barricade"
FURNITURE_BEAST_CAGE_NAME "beast cage"
FURNITURE_BEAST_CAGE_USAGETYPE "sleep in cage"
FURNITURE_BED1_NAME "basic bed"
FURNITURE_BED1_USAGETYPE "sleep in bed"
FURNITURE_BED2_NAME "fine bed"
FURNITURE_BED2_USAGETYPE "sleep in bed"
FURNITURE_BED3_NAME "luxurious bed"
FURNITURE_BED3_USAGETYPE "sleep in bed"
FURNITURE_BLACK_FLOOR_NAME "void"
FURNITURE_BLACK_WALL_NAME "void"
FURNITURE_BLAST_TRAP_NAME "blast trap"
FURNITURE_BOOKCASE_GOLD_NAME "golden bookcase"
FURNITURE_BOOKCASE_IRON_NAME "iron bookcase"
FURNITURE_BOOKCASE_WOOD_NAME "wooden bookcase"
FURNITURE_BOOK_STORAGE_NAME "book shelf"
FURNITURE_BOULDER_TRAP_NAME "boulder trap"
FURNITURE_BRIDGE_NAME "wooden bridge"
FURNITURE_BRIDGE_NAME2 "stone bridge"
FURNITURE_BURNT_TREE_NAME "burnt tree"
FURNITURE_BUSH_NAME1 "plant"
FURNITURE_BUSH_NAME "bush"
FURNITURE_CANIF_TREE_NAME1 "cactus"
FURNITURE_CANIF_TREE_NAME2 "giant treeshroom"
FURNITURE_CANIF_TREE_NAME "tree"
FURNITURE_CASTLE_PILLAR_NAME1 "stone wall"
FURNITURE_CASTLE_PILLAR_NAME "stone pillar"
FURNITURE_CASTLE_WALL_NAME "wall with arrowslits"
FURNITURE_CAULDRON_TAR_NAME "cauldron with tar"
FURNITURE_CHEST_NAME "chest"
FURNITURE_CHEST_WITH_ITEMS_NAME "chest"
FURNITURE_CHICKEN_COOP_NAME "chicken coop"
FURNITURE_COFFIN1_NAME "basic coffin"
FURNITURE_COFFIN1_USAGETYPE "sleep in coffin"
FURNITURE_COFFIN2_NAME "fine coffin"
FURNITURE_COFFIN2_USAGETYPE "sleep in coffin"
FURNITURE_COFFIN3_NAME "luxurious coffin"
FURNITURE_COFFIN3_USAGETYPE "sleep in coffin"
FURNITURE_CONFESSIONAL_NAME1 "luxurious confessional"
FURNITURE_CONFESSIONAL_NAME "confessional"
FURNITURE_CONFESSIONAL_USAGETYPE1 "A minion is absolved of their venial sins"
FURNITURE_CONFESSIONAL_USAGETYPE2 "A minion is more experienced"
FURNITURE_CONFESSIONAL_USAGETYPE3 "A minion is absolved of a mortal sin"
FURNITURE_CONFESSIONAL_USAGETYPE "confess"
FURNITURE_CORPSE_DISPLAY1_NAME "gruesome corpse display"
FURNITURE_COW_PEN_NAME "cow pen"
FURNITURE_CROPS_NAME "wheat"
FURNITURE_CROPS_SECONDPERSON "You scythe the field."
FURNITURE_CROPS_THIRDPERSON "{1} scythes the field."
FURNITURE_CROPS_USAGETYPE "scythe wheat"
FURNITURE_DEMON_SHRINE_NAME1 "angel shrine"
FURNITURE_DEMON_SHRINE_NAME "demon shrine"
FURNITURE_DESTROY_WALLS_TRAP_NAME "crumble trap"
FURNITURE_DISTILLERY_NAME "distillery"
FURNITURE_DISTILLERY_USAGETYPE "use distillery"
FURNITURE_DUNGEON_WALL_NAME "reinforced wall"
FURNITURE_EYEBALL_NAME "eyeball"
FURNITURE_FIRE_TRAP_NAME "fire trap"
FURNITURE_FIRE_WALL_NAME "fire"
FURNITURE_FLOOR_BLIND_NAME "floor of blindness"
FURNITURE_FLOOR_CARPET1_NAME "carpet"
FURNITURE_FLOOR_INVI_NAME "floor of invisibility"
FURNITURE_FLOOR_NAME1 "good intentions"
FURNITURE_FLOOR_NAME "floor"
FURNITURE_FLOOR_PEACE_NAME "floor of peace"
FURNITURE_FLOOR_SPEED_NAME "floor of speed"
FURNITURE_FLOOR_STONE1_NAME "stone floor"
FURNITURE_FLOOR_WOOD1_NAME "wooden floor"
FURNITURE_FLOWER1_NAME "flower"
FURNITURE_FORGE_NAME1 "magma forge"
FURNITURE_FORGE_NAME "forge"
FURNITURE_FORGE_QUENCHING_BUCKET_NAME "quenching bucket"
FURNITURE_FOUNTAIN_NAME "fountain"
FURNITURE_FOUNTAIN_SECONDPERSON "You take a sip."
FURNITURE_FOUNTAIN_THIRDPERSON "{1} takes a sip."
FURNITURE_FOUNTAIN_USAGETYPE "drink from fountain"
FURNITURE_FURNACE_NAME "furnace"
FURNITURE_GALLOWS_NAME "gallows"
FURNITURE_GARGOYLE_TRAP_NAME "gargoyle trap"
FURNITURE_GRASS_NAME "grass"
FURNITURE_GRAVE_NAME "grave"
FURNITURE_GROUND_TORCH_NAME "standing torch"
FURNITURE_HAYPILE_NAME "hay pile"
FURNITURE_HAYPILE_SECONDPERSON "You eat some hay."
FURNITURE_HAYPILE_THIRDPERSON "{1} eats some hay."
FURNITURE_HAYPILE_USAGETYPE "eat from hay pile"
FURNITURE_HEALING_TOTEM_NAME1 "bleeding totem"
FURNITURE_HEALING_TOTEM_NAME "healing totem"
FURNITURE_HILL_NAME "hill"
FURNITURE_ICE_NAME "ice"
FURNITURE_IMPALED_HEAD_NAME "impaled head"
FURNITURE_INACTIVE_PORTAL_NAME "portal"
FURNITURE_INACTIVE_PORTAL_USAGETYPE "use portal"
FURNITURE_IRON_DOOR_NAME "iron door"
FURNITURE_IRON_GATE_NAME "iron gate"
FURNITURE_JEWELLER_NAME1 "magma jeweller"
FURNITURE_JEWELLER_NAME2 "poetry table"
FURNITURE_JEWELLER_NAME3 "dining table"
FURNITURE_JEWELLER_NAME "jeweller"
FURNITURE_JEWELLER_POLISHING_WHEEL_NAME "jewellery polishing wheel"
FURNITURE_JEWELLER_SECONDPERSON "You eat a steaming pig."
FURNITURE_JEWELLER_THIRDPERSON "{1} eats a steaming pig."
FURNITURE_JEWELLER_USAGETYPE "eat from dining table"
FURNITURE_JEWELLERY_STORAGE_NAME "jewellery chest"
FURNITURE_KEEPER_BOARD_NAME "message board"
FURNITURE_LABORATORY_NAME1 "enchanted laboratory"
FURNITURE_LABORATORY_NAME "laboratory"
FURNITURE_WITCH_LAB_NAME "cauldron for cooking children"
FURNITURE_LOOT_COFFIN_NAME "coffin"
FURNITURE_MAGMA_NAME "magma"
FURNITURE_METEOR_SHOWER_NAME "meteor shower"
FURNITURE_MINION_STATUE_NAME "gold statue"
FURNITURE_MORGUE_INSTRUMENT_TABLE_NAME "instrument bench"
FURNITURE_MORGUE_TABLE_NAME "morgue table"
FURNITURE_MORTAR_AND_PESTLE_NAME "mortar and pestle"
FURNITURE_MOUNTAIN2_NAME1 "adamantium ore"
FURNITURE_MOUNTAIN2_NAME2 "adoxium ore"
FURNITURE_MOUNTAIN2_NAME3 "infernite ore"
FURNITURE_MOUNTAIN2_NAME4 "iron ore"
FURNITURE_MOUNTAIN2_NAME5 "granite"
FURNITURE_MOUNTAIN2_NAME6 "gold ore"
FURNITURE_MOUNTAIN2_NAME "melted rock"
FURNITURE_MOUNTAIN_NAME1 "sandstone"
FURNITURE_MOUNTAIN_NAME2 "glacier"
FURNITURE_MOUNTAIN_NAME3 "mountain"
FURNITURE_MOUNTAIN_NAME4 "wall"
FURNITURE_MOUNTAIN_NAME5 "hard rock"
FURNITURE_MOUNTAIN_NAME "soft rock"
FURNITURE_MUD_NAME "mud"
FURNITURE_MUD_WALL_NAME "mud wall"
FURNITURE_OPENED_CHEST_NAME "opened chest"
FURNITURE_PAINTING_N_NAME "painting canvas"
FURNITURE_PEW_WOOD_NAME1 "iron pew"
FURNITURE_PEW_WOOD_NAME2 "golden pew"
FURNITURE_PEW_WOOD_NAME "wooden pew"
FURNITURE_PEW_WOOD_SECONDPERSON "You fall asleep on the pew."
FURNITURE_PEW_WOOD_THIRDPERSON "{1} falls asleep on the pew."
FURNITURE_PEW_WOOD_USAGETYPE "sit on pew"
FURNITURE_PHYLACTERY_NAME1 "active phylactery"
FURNITURE_PHYLACTERY_NAME "phylactery"
FURNITURE_PHYLACTERY_USAGETYPE "transfer your soul to phylactery"
FURNITURE_PIGSTY_NAME "pigsty"
FURNITURE_PIT_NAME "pit"
FURNITURE_POETRY_TABLE_NAME "scriptorium"
FURNITURE_POISON_GAS_TRAP_NAME "poison gas trap"
FURNITURE_PORTAL_NAME "portal"
FURNITURE_PORTAL_STAIRS_NAME "portal"
FURNITURE_PORTAL_STAIRS_USAGETYPE "use portal"
FURNITURE_POTION_STORAGE_NAME "potion shelf"
FURNITURE_PRAYER_BENCH_WOOD_NAME1 "iron prayer bench"
FURNITURE_PRAYER_BENCH_WOOD_NAME2 "golden prayer bench"
FURNITURE_PRAYER_BENCH_WOOD_NAME "wooden prayer bench"
FURNITURE_PRISON_BARS_NAME "prison bars"
FURNITURE_PRISON_DOOR_NAME "prison door"
FURNITURE_PRISON_NAME "prison tile"
FURNITURE_PRISON_USAGETYPE "sleep in prison"
FURNITURE_RED_SAND_NAME "sand"
FURNITURE_REMAINS_TABLE_NAME "pedestal"
FURNITURE_ROAD_NAME "road"
FURNITURE_ROOF_NAME "roof"
FURNITURE_ROSTRUM_WOOD_NAME1 "iron rostrum"
FURNITURE_ROSTRUM_WOOD_NAME2 "golden rostrum"
FURNITURE_ROSTRUM_WOOD_NAME "wooden rostrum"
FURNITURE_ROSTRUM_WOOD_USAGETYPE "hold a Mass"
FURNITURE_RUIN_WALL_NAME "wall"
FURNITURE_SAND_NAME "sand"
FURNITURE_SCARECROW_NAME "scarecrow"
FURNITURE_SCRIPTORIUM_HOLY_TOKEN_NAME "holy token"
FURNITURE_SCROLL_STORAGE_NAME "scroll shelf"
FURNITURE_SNOWMAN_NAME "snowman"
FURNITURE_SNOW_NAME "snow"
FURNITURE_SOKOBAN_HOLE_NAME "hole"
FURNITURE_SPIDER_WEB_NAME "spider web"
FURNITURE_STABLE_NAME "stable"
FURNITURE_STABLE_USAGETYPE "sleep in stable"
FURNITURE_STONE_MINION_STATUE_NAME "stone statue"
FURNITURE_STONES_NAME "rocks"
FURNITURE_SURPRISE_TRAP_NAME "surprise trap"
FURNITURE_SWAMPGRASS_NAME "grass"
FURNITURE_TAR_NAME "tar"
FURNITURE_TAR_SECONDPERSON1 "You are slowed down by the tar!"
FURNITURE_TAR_SECONDPERSON "You are stuck in the tar!"
FURNITURE_TAR_THIRDPERSON1 "{1} is slowed down by the tar!"
FURNITURE_TAR_THIRDPERSON "{1} is stuck in the tar!"
FURNITURE_TERMITE_MOUND_NAME "termite mound"
FURNITURE_TERROR_TRAP_NAME "panic trap"
FURNITURE_THRONE_NAME1 "broken throne"
FURNITURE_THRONE_NAME "throne"
FURNITURE_THRONE_SECONDPERSON "You sit on the throne."
FURNITURE_THRONE_THIRDPERSON "{1} sits on the throne."
FURNITURE_THRONE_USAGETYPE "sit on throne"
FURNITURE_CANDELABRUM_NAME "candelabrum"
FURNITURE_TORCH_NAME "torch"
FURNITURE_TORTURE_TABLE_NAME "torture table"
FURNITURE_TRAINING_ADA_NAME "adamantine dummy"
FURNITURE_TRAINING_IRON_NAME "iron dummy"
FURNITURE_TRAINING_WOOD_NAME "wooden dummy"
FURNITURE_TRAP_TRIGGER_NAME "trap trigger"
FURNITURE_TREASURE_CHEST_NAME "treasure chest"
FURNITURE_TREE_TRUNK_NAME "tree trunk"
FURNITURE_TUTORIAL_ENTRANCE_NAME "tutorial entrance"
FURNITURE_UP_STAIRS_NAME "stairs leading up"
FURNITURE_DOWN_STAIRS_NAME "stairs leading down"
FURNITURE_UP_STAIRS_USAGETYPE "use stairs"
FURNITURE_WATER_NAME1 "enchanted pool"
FURNITURE_WATER_NAME2 "shallow water"
FURNITURE_WATER_NAME "water"
FURNITURE_WEAPON_RACK_NAME1 "bow rack"
FURNITURE_WEAPON_RACK_NAME "weapon rack"
FURNITURE_WEB_TRAP_NAME "web trap"
FURNITURE_WELL_NAME "well"
FURNITURE_WHIPPING_POST_NAME "whipping post"
FURNITURE_WOOD_DOOR_NAME "wooden door"
FURNITURE_WOOD_GATE_NAME "wooden gate"
FURNITURE_WOOD_PILLAR_NAME1 "wooden wall"
FURNITURE_WOOD_PILLAR_NAME "wooden pillar"
FURNITURE_WORKSHOP_NAME1 "enchanted workshop"
FURNITURE_WORKSHOP_NAME "workshop"
FURNITURE_WORKSHOP_TOOL_STAND_NAME "tool stand"
ITEM_LISTS_BLACKMARKETCRAFTING_TYPE1 "Contains secrets of legendary blacksmithing knowledge"
ITEM_LISTS_BLACKMARKETCRAFTING_TYPE "blacksmithing mastery"
ITEM_LISTS_BLACKMARKETSCROLLS_TYPE1 "Creates a big fog cloud"
ITEM_LISTS_BLACKMARKETSCROLLS_TYPE "greater fog"
ITEMS_ADAARMOR_NAME1 "adoxium armor"
ITEMS_ADAARMOR_NAME "adamantine armor"
ITEMS_ADAARMOR_SHORTNAME "armor"
ITEMS_ADABATTLEAXE_NAME "infernite battle axe"
ITEMS_ADABATTLEAXE_SHORTNAME "infernite"
ITEMS_ADABOOTS_NAME1 "pair of adoxium boots"
    "pairs of adoxium boots" : plural
ITEMS_ADABOOTS_NAME "pair of adamantine boots"
    "pairs of admantine boots" : plural
ITEMS_ADABOOTS_SHORTNAME "boots"
ITEMS_ADAGLOVES_NAME1 "pair of adoxium gloves"
    "pairs of adoxium gloves" : plural
ITEMS_ADAGLOVES_NAME "pair of adamantine gloves"
    "pairs of adamantine gloves" : plural
ITEMS_ADAGLOVES_SHORTNAME "gloves"
ITEMS_ADAHELM_NAME1 "adoxium helm"
ITEMS_ADAHELM_NAME "adamantine helm"
ITEMS_ADAHELM_SHORTNAME "helm"
ITEMS_ADAORE_NAME "adamantine ore"
ITEMS_ADASHIELD_NAME "adamantine shield"
ITEMS_ADASHIELD_SHORTNAME "adamantine"
ITEMS_ADASWORD_NAME "infernite sword"
ITEMS_ADASWORD_SHORTNAME "infernite"
ITEMS_ADAWARHAMMER_NAME "infernite war hammer"
ITEMS_ADAWARHAMMER_SHORTNAME "infernite"
ITEMS_ADOXIEAMULET_NAME "amulet of The Evil God Adoxie"
ITEMS_ADOXIEAMULET_SHORTNAME "Adoxie"
ITEMS_ADOXIEEYE_NAME "Adoxie's eye"
ITEMS_ADOXIERING_DESCRIPTION "Increases the owner's proficiency in reciting prayers."
ITEMS_ADOXIERING_NAME "ring of The Evil God Adoxie"
ITEMS_ADOXIERING_SHORTNAME "Adoxie"
ITEMS_ADOXIESCROLL_EFFECT1 "message"
ITEMS_ADOXIESCROLL_EFFECT "Just a cheap pamphlet"
ITEMS_ADOXIESCROLL_NAME "religious pamphlet"
ITEMS_ADOXIUMCROZIER_NAME "adoxium crozier"
ITEMS_ADOXIUMORE_NAME "adoxium ore"
ITEMS_ADOXIUMSTAFF_NAME "adoxium staff"
ITEMS_ARCHWOOD_NAME "branch of archwood"
    "branches of archwood" : plural
ITEMS_AUTOMATONITEM_APPLYMSGFIRSTPERSON "assemble the automaton"
ITEMS_AUTOMATONITEM_APPLYMSGTHIRDPERSON "assembles an automaton"
ITEMS_AUTOMATONITEM_NAME "automaton"
ITEMS_BAGOFCANDIES_BLINDNAME "bag"
ITEMS_BAGOFCANDIES_DESCRIPTION "Really, just a bag of candies."
ITEMS_BAGOFCANDIES_NAME "bag of candies"
ITEMS_BAGOFCANDIES_SHORTNAME "candies"
ITEMS_BALROGSWHIP_NAME "fiery whip"
ITEMS_BATTLEAXE_NAME1 "adamantine battle axe"
ITEMS_BATTLEAXE_NAME "battle axe"
ITEMS_BATTLEAXE_SHORTNAME "adamantine"
ITEMS_BISHOPRING_DESCRIPTION "Grants the Bishop the ability to summon his congregation. May not be used by other minions."
ITEMS_BISHOPRING_NAME "bishop ring"
ITEMS_BISHOPRING_SHORTNAME "bishop"
ITEMS_BLACKDRAGONSCALES_NAME "black dragon scales"
ITEMS_BLACKMARKETKEY_APPLYMSGFIRSTPERSON "try to use the key"
ITEMS_BLACKMARKETKEY_APPLYMSGTHIRDPERSON "tries to use the key"
ITEMS_BLACKMARKETKEY_DESCRIPTION "A key with a strange crystal."
ITEMS_BLACKMARKETKEY_EFFECT "Unknown"
ITEMS_BLACKMARKETKEY_NAME "key"
ITEMS_BONE_NAME "bone"
ITEMS_BOW_NAME1 "silver elven bow"
ITEMS_BOW_NAME2 "archwood bow"
ITEMS_BOW_NAME "short bow"
ITEMS_CHAINARMOR_NAME "chain armor"
ITEMS_CHAINARMOR_SHORTNAME "armor"
ITEMS_CLUB_NAME "club"
ITEMS_CORNUTHAUM1_EQUIPWARNING "Cornuthaums are only useful for spellcasters. Continue?"
ITEMS_CORNUTHAUM1_NAME1 "ornate cornuthaum"
ITEMS_CORNUTHAUM1_NAME2 "sumptuous cornuthaum"
ITEMS_CORNUTHAUM1_NAME "cornuthaum"
ITEMS_CROSSBOW_NAME1 "archwood crossbow"
ITEMS_CROSSBOW_NAME "crossbow"
ITEMS_CYCLOPSBRAIN_NAME "cyclops brain"
